,stock GE_log_value,stock JPM_log_value,stock A_log_value,stock AA_log_value,stock AAPL_log_value,S&P index
sig2_041,0.00016043048466876002,0.00023278798963524165,0.00023599185914249975,0.0006211025441491239,0.0002275295850626051,0.0001263943258903037
sig2_042,0.00018384195031396258,0.00029388310160523333,0.0002286989502093619,0.0006455426870512371,0.00022718487179731084,0.0001282575722912319
sig2_043,0.00017480031380642376,0.0003051400581959618,0.00023343004851828706,0.0006654565287775738,0.00020467461545338488,0.00012768019537360016
sig2_044,0.00016865428393495567,0.0002863848056099718,0.00022555652542502518,0.0007893449714724951,0.00023374677844417686,0.00012706522362123228
sig2_045,0.00035066532014688893,0.0003001032505196644,0.00021717694981799029,0.00075449872427952,0.0002117398287413229,0.0001266146633790115
sig2_046,0.00035091092472069185,0.0002807244572854728,0.00020958847578606221,0.0007322543710518283,0.00019514983653375466,0.00012612385296494307
sig2_047,0.00032483729271353486,0.00026458066921591146,0.00020285442377445268,0.0007145381837237037,0.0001981251012292208,0.0001256196623994052
sig2_048,0.00029646268378129644,0.00030100716805594584,0.00021408007687614045,0.0016011029669051125,0.00020903560888988474,0.00012609752970658736
sig2_049,0.000272186882409538,0.000305470141803475,0.00021047225291171223,0.0014960852502148166,0.00020833539258756465,0.00012619691811305213
sig2_050,0.000256615495979323,0.0002922180271417391,0.00022038515627577539,0.0013535457842239374,0.00019978943931099686,0.0001257109214961787
sig2_051,0.00025890915378262003,0.00032157536133165367,0.0002695279815502606,0.0012290631267128601,0.00023431281363055838,0.00012649138646161174
sig2_052,0.00024089711353989288,0.0003068446788839975,0.00026470819357395727,0.0011101991370870094,0.0004296745018381942,0.00012738806757964558
sig2_053,0.000224207286087432,0.0002861525435202084,0.00025455916061248735,0.0010496862912736228,0.00039452325110410174,0.00012801694055811192
sig2_054,0.00028175497465540424,0.0006849623564683281,0.0002436948836268565,0.0012566955819157885,0.000377407156078294,0.00013120237941020746
sig2_055,0.0002604736720742932,0.000720942856280417,0.0004352486821792831,0.0013950877972185708,0.0007202182145131539,0.0001355788789964092
sig2_056,0.00025770867840984376,0.0006426110084279314,0.00040226273321504827,0.0012565444234986982,0.0006418301244219858,0.00013466349769770082
sig2_057,0.0002383219821627256,0.000611808264260515,0.0003722975610853559,0.0011427057547611795,0.0005296089857763878,0.00013384394952152564
sig2_058,0.00022234163363207994,0.0005924996220541123,0.00034506779431587095,0.0010562908496615376,0.0004336124694077091,0.00013305685470639425
sig2_059,0.00021442516308031498,0.0005328076834512091,0.0003491985982707931,0.0010160180056051518,0.0006279116286400589,0.00013363407958138222
sig2_060,0.00020301296262956425,0.0004985984591806845,0.00037937964351682555,0.0009377020358770673,0.000702995100236926,0.0001337221972953663
sig2_061,0.00019716186333473156,0.00047645446704104366,0.00047627275337098395,0.0010126316942991446,0.0005698243549935849,0.00013463384432957983
sig2_062,0.0002816996162454131,0.0004760980359691403,0.0004429271695810324,0.0009550853050815548,0.00045749261717664046,0.00013515633772519478
sig2_063,0.000268656592913165,0.00043590401980256614,0.00040270952726675967,0.0008772551565658941,0.00040142953771009294,0.00013444187627168977
