dates,p
2010-10-20,0.002131170797210512
2010-10-21,0.0021882062941051706
2010-10-22,0.002208057930153866
2010-10-25,0.0020546174163112068
2010-10-26,0.0019333127900865265
2010-10-27,0.001751073641750669
2010-10-28,0.0016741738851554565
2010-10-29,0.0015403951237203046
2010-11-01,0.0012895376198049217
2010-11-02,0.0013898810152877651
2010-11-03,0.002080442797733544
2010-11-04,0.0022196126212264693
2010-11-05,0.0022233121717786996
2010-11-08,0.0022227773121001027
2010-11-09,0.0020952764699228095
2010-11-10,0.0021963065889016244
2010-11-11,0.002154864392952479
2010-11-12,0.0014435012819293332
2010-11-15,0.0016082860479561271
2010-11-16,0.0006864813084850902
2010-11-17,0.0009848495339987002
2010-11-18,0.0021330255733750273
2010-11-19,0.002230375835081946
2010-11-22,0.0021759743189859277
2010-11-23,0.0013159852566704887
2010-11-24,0.0017750000883861724
2010-11-26,0.0006863069664230708
2010-11-29,0.0009474904855441728
2010-11-30,0.00037364547915163783
2010-12-01,0.001070227432579032
2010-12-02,0.0019149006476838783
2010-12-03,0.0022427690032574507
2010-12-06,0.002234148805890254
2010-12-07,0.0022279873630832226
2010-12-08,0.002246660644379815
2010-12-09,0.0022552668848222677
2010-12-10,0.00224218369867883
2010-12-13,0.0022399289227182334
2010-12-14,0.0022191833365410173
2010-12-15,0.0021229039475135257
2010-12-16,0.0022328797693716537
2010-12-17,0.0021549582979381652
2010-12-20,0.0022481680227632262
2010-12-21,0.002267574618448014
2010-12-22,0.002039641568156541
2010-12-23,0.002272472387869352
2010-12-27,0.001929016764244755
2010-12-28,0.0019720646415455007
2010-12-29,0.0020481630885774912
2010-12-30,0.001920874764178324
2010-12-31,0.0017858726515393097
2011-01-03,0.0018354629186561828
2011-01-04,0.001925215559891061
2011-01-05,0.002060604533502617
2011-01-06,0.0018614032426807693
2011-01-07,0.0019650674935396666
2011-01-10,0.0017368136417775443
2011-01-11,0.002039152940370815
2011-01-12,0.00223877917025016
2011-01-13,0.002177784859910233
2011-01-14,0.0022917105126247124
2011-01-18,0.0022676596402374464
2011-01-19,0.001601119424165819
2011-01-20,0.0011849779783296274
2011-01-21,0.0009240397893931973
2011-01-24,0.001390983368566996
2011-01-25,0.0014173651113967498
2011-01-26,0.0019571448929966684
2011-01-27,0.0021568603106038183
2011-01-28,0.00028664693744757594
2011-01-31,0.000446661688866187
